#TYPE Microsoft.Azure.Management.Compute.Models.ResourceSkuCapabilities
"vmName","Name","Value"
"Standard_A1","MemoryPreservingMaintenanceSupported","True"
"Standard_A1","HyperVGenerations","V1"
"Standard_A1","MemoryGB","1.75"
"Standard_A1","MaxDataDiskCount","2"
"Standard_A1","CpuArchitectureType","x64"
"Standard_A1","LowPriorityCapable","True"
"Standard_A1","PremiumIO","False"
"Standard_A1","VMDeploymentTypes","IaaS,PaaS"
"Standard_A1","vCPUsAvailable","1"
"Standard_A1","ACUs","100"
"Standard_A1","vCPUsPerCore","1"
"Standard_A1","EphemeralOSDiskSupported","False"
"Standard_A1","EncryptionAtHostSupported","False"
"Standard_A1","CapacityReservationSupported","False"
"Standard_A1","AcceleratedNetworkingEnabled","False"
"Standard_A1","RdmaEnabled","False"
"Standard_A1","MaxNetworkInterfaces","2"
"Standard_A1_v2","MaxResourceVolumeMB","10240"
"Standard_A1_v2","OSVhdSizeMB","1047552"
"Standard_A1_v2","vCPUs","1"
"Standard_A1_v2","MemoryPreservingMaintenanceSupported","True"
"Standard_A1_v2","HyperVGenerations","V1"
"Standard_A1_v2","MemoryGB","2"
"Standard_A1_v2","MaxDataDiskCount","2"
"Standard_A1_v2","CpuArchitectureType","x64"
"Standard_A1_v2","LowPriorityCapable","True"
"Standard_A1_v2","PremiumIO","False"
"Standard_A1_v2","VMDeploymentTypes","IaaS,PaaS"
"Standard_A1_v2","vCPUsAvailable","1"
"Standard_A1_v2","ACUs","100"
"Standard_A1_v2","vCPUsPerCore","1"
"Standard_A1_v2","CombinedTempDiskAndCachedIOPS","1000"
"Standard_A1_v2","CombinedTempDiskAndCachedReadBytesPerSecond","20971520"
"Standard_A1_v2","CombinedTempDiskAndCachedWriteBytesPerSecond","10485760"
"Standard_A1_v2","EphemeralOSDiskSupported","False"
"Standard_A1_v2","EncryptionAtHostSupported","False"
"Standard_A1_v2","CapacityReservationSupported","False"
"Standard_A1_v2","AcceleratedNetworkingEnabled","False"
